City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,la tuque,47.4334,-72.7824,-0.86,74,100,1.03,CA,1699932831
83,georgetown,5.4112,100.3354,31.64,79,20,2.57,MY,1699932802
84,invercargill,-46.4,168.35,11.68,91,89,6.71,NZ,1699932945
85,port mathurin,-19.6833,63.4167,27.05,83,20,2.06,MU,1699932967
86,kone,-21.0595,164.8658,27.18,46,5,4.3,NC,1699932729
87,baoro,5.6667,15.9667,20.07,94,17,0.9,CF,1699932968
88,isafjordur,66.0755,-23.124,1.5,86,40,2.95,IS,1699932968
89,itoman,26.1247,127.6694,23.43,55,75,5.14,JP,1699932968
90,port lincoln,-34.7333,135.8667,17.53,67,58,4.37,AU,1699932969
91,nikolayevsk-on-amure,53.1406,140.73,-5.17,85,100,4.37,RU,1699932969
92,lihue,21.9789,-159.3672,27.58,75,40,7.2,US,1699932969
93,tabou,4.423,-7.3528,25.49,87,6,1.88,CI,1699932970
94,jand,33.4299,72.0193,20.44,42,0,1.27,PK,1699932970
95,olonkinbyen,70.9221,-8.7187,-1.37,76,98,3.77,SJ,1699932970
96,mhamid,29.82,-5.72,18.97,32,55,0.66,MA,1699932971
97,cacheu,12.2706,-16.1658,24.05,71,62,1.31,GW,1699932971
98,hamilton,39.1834,-84.5333,10.24,57,0,1.34,US,1699932690
99,sao joao da barra,-21.6403,-41.0511,23.53,92,68,2.68,BR,1699932798
100,vredendal,-31.6683,18.5012,20.06,41,33,5.27,ZA,1699932972
101,kimbe,-5.5502,150.1429,30.51,62,100,1.93,PG,1699932972
102,bani walid,31.7566,13.9942,15.35,86,0,3.3,LY,1699932972
103,robit,12.0167,39.6333,18.44,71,35,1.18,ET,1699932973
104,crane,31.3974,-102.3501,10.95,83,100,2.91,US,1699932973
105,northam,51.0333,-4.2167,13.12,91,95,9.72,GB,1699932973
106,kota belud,6.351,116.4305,31.86,60,50,2.39,MY,1699932893
107,bilibino,68.0546,166.4372,-29.18,100,100,1.0,RU,1699932974
108,edgewater,28.9889,-80.9023,22.01,97,100,5.14,US,1699932975
109,colonia,50.9333,6.95,12.13,75,75,8.75,DE,1699932975
110,ghadamis,30.1337,9.5007,16.84,50,0,3.63,LY,1699932975
111,college,64.8569,-147.8028,-3.03,90,100,0.0,US,1699932975
112,mbandaka,0.0487,18.2603,21.92,98,73,0.82,CD,1699932976
113,sola,-13.8833,167.55,27.37,74,100,2.06,VU,1699932976
114,enewetak,11.3474,162.3373,28.4,81,87,8.3,MH,1699932765
115,kulhudhuffushi,6.6221,73.07,27.69,73,26,1.2,MV,1699932976
